cluster_k,CustomerID,InvoiceNumberYear,LastInvoiceMonth,LastInvoiceMonthNb,MeanLinesPerInvoice,MeanQuantityPerInvoice,MeanAmountPerInvoice,TotalAmountSpent
3,14549,1,201102,10,56.0,136.0,289.2399999999999,289.2399999999999
7,17609,5,201110,2,47.0,139.2,220.94399999999996,1104.7199999999998
6,17735,19,201112,0,36.31578947368421,444.1578947368421,690.0010526315789,13110.019999999999
7,17247,1,201111,1,55.0,106.0,282.18999999999994,282.18999999999994
0,17024,3,201110,2,1.0,23.0,31.95,95.85
0,12576,5,201111,1,17.6,193.4,263.166,1315.83
3,15353,2,201103,9,31.5,171.5,388.51,777.02
7,12713,1,201112,0,37.0,505.0,794.5499999999998,794.5499999999998
0,13256,1,201111,1,1.0,12540.0,0.0,0.0
6,13269,15,201112,0,21.066666666666666,234.26666666666668,356.4153333333333,5346.23
3,17991,2,201104,8,2.5,12.5,46.675000000000004,93.35000000000001
3,13900,3,201106,6,14.333333333333334,143.33333333333334,246.98333333333335,740.95
6,16013,46,201112,0,2.9782608695652173,320.3478260869565,774.7739130434783,35639.6
0,17014,3,201112,0,24.666666666666668,81.66666666666667,195.44333333333336,586.33
0,15565,2,201110,2,4.0,30.0,86.58000000000001,173.16000000000003
0,13858,1,201110,2,11.0,75.0,216.16999999999996,216.16999999999996
0,13210,1,201109,3,22.0,316.0,353.47999999999996,353.47999999999996
0,12587,1,201112,0,3.0,50.0,104.0,104.0
0,12712,13,201111,1,8.923076923076923,79.0,294.78692307692313,3832.230000000001
3,15130,1,201106,6,22.0,197.0,330.11,330.11
0,18177,6,201111,1,12.166666666666666,117.5,219.02833333333334,1314.17
0,16150,5,201110,2,23.2,208.6,402.644,2013.22
7,15065,4,201111,1,38.5,339.5,786.9075,3147.63
0,13670,1,201109,3,25.0,282.0,349.70000000000016,349.70000000000016
0,17219,1,201111,1,25.0,89.0,114.23,114.23
0,17351,3,201111,1,9.0,37.666666666666664,195.71666666666667,587.15
0,15488,1,201109,3,2.0,73.0,91.32000000000001,91.32000000000001
0,16809,5,201111,1,29.8,130.4,182.93800000000005,914.6900000000003
0,15690,2,201112,0,9.5,204.0,119.88,239.76
0,13372,1,201109,3,22.0,158.0,328.64,328.64
0,16503,4,201108,4,21.0,142.25,357.98249999999996,1431.9299999999998
3,15212,1,201104,8,5.0,36.0,101.79999999999998,101.79999999999998
0,16140,2,201110,2,17.0,364.0,354.09,708.18
0,14473,2,201109,3,3.5,44.0,117.17000000000002,234.34000000000003
3,15894,2,201103,9,20.0,83.5,131.45,262.9
0,13329,2,201111,1,8.0,219.5,387.9,775.8
0,15452,3,201111,1,19.333333333333332,94.33333333333333,179.57666666666663,538.7299999999999
3,15100,3,201101,11,1.0,26.666666666666668,292.0,876.0
0,12445,1,201111,1,3.0,60.0,77.4,77.4
0,14752,1,201110,2,5.0,260.0,389.63999999999993,389.63999999999993
0,14227,10,201111,1,17.4,181.8,333.50600000000003,3335.0600000000004
0,14815,2,201111,1,26.5,372.0,389.25,778.5
0,13621,1,201108,4,19.0,343.0,213.85,213.85
0,16292,1,201108,4,16.0,189.0,282.35,282.35
0,15304,8,201110,2,2.875,13.0,86.8,694.4
0,12538,1,201111,1,21.0,191.0,363.95,363.95
0,16321,3,201109,3,2.6666666666666665,26.0,76.89999999999999,230.7
0,13832,1,201111,1,3.0,28.0,52.199999999999996,52.199999999999996
3,14964,1,201104,8,13.0,143.0,206.21,206.21
3,12426,1,201105,7,29.0,254.0,510.7299999999999,510.7299999999999
3,14247,1,201103,9,20.0,47.0,136.77,136.77
0,16455,7,201110,2,14.142857142857142,141.14285714285714,263.0257142857143,1841.18
3,15180,1,201100,12,6.0,36.0,87.5,87.5
0,16723,2,201109,3,21.5,199.5,294.575,589.15
0,14027,1,201110,2,6.0,62.0,104.82000000000002,104.82000000000002
7,12556,2,201110,2,60.5,179.0,301.8549999999999,603.7099999999998
0,13145,4,201110,2,1.5,36.25,154.63,618.52
0,15344,3,201112,0,8.333333333333334,38.0,178.01333333333332,534.04
0,13431,2,201110,2,23.0,336.0,634.55,1269.1
0,13792,2,201110,2,6.5,46.0,97.775,195.55
7,17449,7,201112,0,39.142857142857146,159.14285714285714,357.4085714285714,2501.8599999999997
7,15574,4,201106,6,42.0,87.25,175.56249999999997,702.2499999999999
7,16480,1,201109,3,53.0,455.0,769.2899999999995,769.2899999999995
0,13971,8,201111,1,18.5,229.25,342.1825,2737.46
3,17374,2,201105,7,14.0,42.5,247.88500000000002,495.77000000000004
0,18178,4,201108,4,24.25,245.75,397.70250000000004,1590.8100000000002
0,13719,5,201111,1,12.0,121.8,208.336,1041.68
0,12452,1,201111,1,20.0,181.0,348.57000000000005,348.57000000000005
0,12491,1,201111,1,25.0,258.0,424.4000000000001,424.4000000000001
7,15265,2,201107,5,41.0,306.0,753.06,1506.12
3,13161,1,201101,11,8.0,29.0,112.75,112.75
0,13203,4,201111,1,14.25,200.0,217.365,869.46
3,16517,1,201103,9,17.0,96.0,162.70000000000005,162.70000000000005
0,16211,1,201109,3,23.0,154.0,547.02,547.02
0,16478,3,201111,1,5.666666666666667,74.66666666666667,110.33333333333336,331.00000000000006
0,14855,2,201108,4,10.0,133.5,322.825,645.65
0,15837,1,201110,2,24.0,189.0,391.97999999999996,391.97999999999996
0,16877,6,201111,1,26.5,77.16666666666667,142.28666666666666,853.72
0,13730,2,201107,5,21.5,244.0,376.30000000000007,752.6000000000001
2,13869,4,201108,4,76.75,430.25,776.2374999999996,3104.9499999999985
0,12352,7,201111,1,10.0,66.14285714285714,180.77285714285713,1265.4099999999999
6,17613,14,201111,1,22.142857142857142,176.78571428571428,323.5642857142857,4529.9
0,15540,1,201111,1,15.0,200.0,213.30000000000004,213.30000000000004
3,15236,1,201102,10,15.0,269.0,321.05,321.05
0,15582,3,201111,1,14.666666666666666,151.0,227.63666666666668,682.9100000000001
3,13466,1,201106,6,17.0,259.0,307.90000000000003,307.90000000000003
3,14280,1,201105,7,8.0,52.0,134.04,134.04
0,14150,2,201111,1,13.0,248.0,329.32000000000005,658.6400000000001
0,18217,2,201111,1,15.5,245.5,310.875,621.75
3,17291,1,201102,10,1.0,72.0,550.8000000000001,550.8000000000001
0,14209,6,201111,1,14.5,115.16666666666667,345.5716666666667,2073.4300000000003
3,12793,2,201101,11,11.0,146.0,230.74,461.48
7,15023,11,201112,0,50.90909090909091,260.1818181818182,616.7145454545454,6783.86
7,16613,1,201109,3,30.0,293.0,618.59,618.59
0,16835,2,201108,4,5.0,30.5,90.425,180.85
0,14681,3,201109,3,2.3333333333333335,25.333333333333332,166.31666666666666,498.95
3,12468,2,201106,6,18.0,181.0,328.77,657.54
0,14645,2,201107,5,15.0,190.5,298.545,597.09
3,14603,1,201103,9,2.0,400.0,660.0,660.0
0,12464,8,201111,1,2.75,11.875,119.63125000000001,957.0500000000001
3,15912,2,201106,6,9.5,92.5,132.31,264.62
0,13461,3,201111,1,9.0,390.0,481.6666666666667,1445.0
7,17984,1,201107,5,48.0,98.0,152.68000000000006,152.68000000000006
7,14552,1,201107,5,58.0,91.0,165.07000000000005,165.07000000000005
7,17255,2,201110,2,39.0,116.0,149.205,298.41
3,15087,1,201103,9,15.0,470.0,306.94,306.94
3,12614,1,201103,9,20.0,76.0,315.59999999999997,315.59999999999997
7,17341,3,201107,5,61.0,163.0,260.4533333333333,781.3599999999999
6,15498,27,201112,0,18.962962962962962,226.11111111111111,493.19999999999993,13316.399999999998
2,16669,2,201111,1,79.0,439.0,685.2349999999998,1370.4699999999996
0,16190,1,201110,2,6.0,88.0,215.08,215.08
0,17115,3,201112,0,12.666666666666666,123.66666666666667,274.91666666666674,824.7500000000002
2,15154,1,201109,3,81.0,100.0,266.86999999999995,266.86999999999995
3,13239,1,201103,9,22.0,363.0,329.56,329.56
0,12457,4,201110,2,14.5,175.75,416.96999999999997,1667.8799999999999
6,17315,36,201112,0,12.972222222222221,107.19444444444444,173.31472222222226,6239.330000000001
0,14132,11,201112,0,18.181818181818183,306.1818181818182,326.00272727272727,3586.0299999999997
3,17165,1,201102,10,10.0,100.0,158.68,158.68
0,17295,3,201111,1,23.0,98.0,185.64999999999998,556.9499999999999
3,13990,1,201105,7,16.0,190.0,311.3,311.3
3,14437,1,201100,12,5.0,60.0,63.0,63.0
7,15012,2,201110,2,64.0,115.5,211.51999999999995,423.0399999999999
3,13863,1,201104,8,20.0,224.0,305.78000000000003,305.78000000000003
7,17919,1,201109,3,23.0,756.0,1304.04,1304.04
7,16960,3,201111,1,33.333333333333336,100.33333333333333,168.36666666666667,505.1
0,18080,2,201111,1,1.0,321.0,615.75,1231.5
0,14514,3,201110,2,24.333333333333332,196.33333333333334,351.7833333333333,1055.35
0,18027,1,201109,3,21.0,78.0,115.30999999999999,115.30999999999999
0,16773,1,201110,2,26.0,171.0,171.59,171.59
3,15333,1,201105,7,16.0,344.0,1028.56,1028.56
0,13184,10,201111,1,17.8,166.1,164.779,1647.79
7,17514,1,201108,4,40.0,135.0,208.65,208.65
0,14661,1,201111,1,4.0,35.0,107.95,107.95
0,15329,3,201110,2,18.333333333333332,160.66666666666666,341.0666666666668,1023.2000000000003
3,15386,1,201106,6,31.0,446.0,394.14000000000004,394.14000000000004
0,14913,4,201111,1,21.75,435.75,306.8575,1227.43
7,13895,4,201111,1,29.5,341.25,648.2674999999999,2593.0699999999997
3,17431,1,201101,11,43.0,292.0,403.30000000000007,403.30000000000007
0,12618,1,201111,1,10.0,95.0,137.31,137.31
3,16427,2,201103,9,4.5,78.0,120.53,241.06
3,15308,1,201103,9,19.0,175.0,310.47,310.47
7,17839,1,201110,2,56.0,285.0,338.80000000000007,338.80000000000007
0,16591,1,201110,2,10.0,41.0,213.5,213.5
0,17064,3,201110,2,20.666666666666668,106.0,286.45,859.35
0,16057,7,201111,1,16.714285714285715,120.28571428571429,313.68142857142857,2195.77
0,16160,2,201110,2,10.0,581.0,512.7200000000001,1025.4400000000003
0,13026,5,201112,0,8.0,324.0,195.07200000000003,975.3600000000001
6,13458,14,201112,0,27.214285714285715,392.85714285714283,686.6692857142856,9613.369999999999
6,15301,12,201110,2,20.083333333333332,230.91666666666666,419.6208333333334,5035.450000000001
0,14285,4,201111,1,6.75,135.25,477.50250000000005,1910.0100000000002
3,14705,1,201105,7,1.0,100.0,179.0,179.0
3,17897,3,201106,6,38.0,76.33333333333333,188.86666666666667,566.6
0,14385,3,201111,1,4.666666666666667,53.0,67.36999999999999,202.10999999999999
0,14731,3,201110,2,15.0,85.33333333333333,126.67333333333333,380.02
0,17031,2,201111,1,11.0,117.5,190.175,380.35
0,16119,2,201112,0,8.0,120.0,211.68,423.36
0,14323,2,201108,4,17.5,172.0,293.68,587.36
6,14733,12,201111,1,16.833333333333332,313.6666666666667,798.8258333333334,9585.910000000002
3,15454,1,201100,12,25.0,86.0,179.10000000000002,179.10000000000002
0,14272,2,201109,3,16.5,299.5,218.98000000000002,437.96000000000004
0,12642,3,201111,1,14.666666666666666,182.0,301.75333333333333,905.26
0,17724,3,201109,3,13.0,98.66666666666667,336.40000000000003,1009.2
3,15457,1,201103,9,58.0,132.0,237.07000000000002,237.07000000000002
2,13357,1,201103,9,90.0,322.0,609.9500000000002,609.9500000000002
0,13769,10,201112,0,13.5,116.3,279.65099999999995,2796.5099999999993
3,18095,2,201101,11,10.5,209.5,290.025,580.05
7,17220,14,201111,1,33.714285714285715,136.07142857142858,228.44642857142864,3198.250000000001
0,16505,1,201111,1,4.0,576.0,777.6,777.6
0,15483,4,201107,5,22.0,73.75,58.452500000000015,233.81000000000006
3,12888,2,201105,7,2.5,38.0,177.06,354.12
7,13243,1,201105,7,58.0,233.0,600.07,600.07
7,15416,4,201110,2,48.0,522.5,996.0799999999998,3984.3199999999993
0,13064,4,201111,1,17.25,129.0,279.87249999999995,1119.4899999999998
7,16012,3,201111,1,31.333333333333332,266.3333333333333,471.7633333333333,1415.29
0,14321,5,201111,1,24.6,481.2,306.15000000000003,1530.7500000000002
0,13272,2,201111,1,7.5,48.0,138.28,276.56
7,13802,3,201107,5,19.333333333333332,790.6666666666666,1393.14,4179.42
0,17624,2,201111,1,25.0,277.0,421.74,843.48
0,17250,2,201112,0,28.5,84.0,192.26000000000002,384.52000000000004
7,12613,4,201110,2,36.5,402.0,753.97,3015.88
3,14393,1,201105,7,5.0,13.0,67.94999999999999,67.94999999999999
0,13397,5,201109,3,7.6,86.0,308.826,1544.13
0,17218,10,201112,0,27.4,95.8,196.07199999999997,1960.7199999999998
0,13352,1,201110,2,23.0,320.0,347.9800000000001,347.9800000000001
0,17896,1,201111,1,2.0,288.0,256.32,256.32
0,17419,12,201111,1,17.083333333333332,156.08333333333334,350.97666666666663,4211.719999999999
0,13573,2,201110,2,13.0,151.5,147.2,294.4
2,12890,1,201111,1,82.0,259.0,380.46999999999997,380.46999999999997
7,13505,4,201109,3,52.25,614.5,895.77,3583.08
0,13384,7,201111,1,21.714285714285715,346.0,593.1328571428572,4151.93
0,14789,1,201111,1,6.0,116.0,197.64000000000001,197.64000000000001
2,16684,28,201112,0,9.785714285714286,1763.9642857142858,2354.29,65920.12
0,16444,4,201110,2,21.0,101.75,163.66750000000002,654.6700000000001
0,12594,9,201111,1,12.666666666666666,196.88888888888889,356.4688888888889,3208.2200000000003
0,13538,7,201110,2,3.5714285714285716,25.0,182.97857142857143,1280.85
0,14208,1,201109,3,10.0,114.0,151.73999999999998,151.73999999999998
0,18219,10,201112,0,11.3,88.3,201.977,2019.77
3,14740,3,201105,7,29.666666666666668,245.0,482.7366666666667,1448.21
3,15381,2,201105,7,4.0,85.5,298.425,596.85
6,16945,19,201111,1,13.105263157894736,143.42105263157896,228.71052631578948,4345.5
0,12647,12,201111,1,9.0,116.25,259.40583333333336,3112.8700000000003
3,15909,1,201106,6,7.0,98.0,191.93999999999997,191.93999999999997
0,13845,1,201110,2,9.0,182.0,312.98,312.98
0,14101,6,201109,3,5.833333333333333,1157.0,996.1316666666665,5976.789999999999
0,15312,4,201109,3,11.75,129.0,231.21250000000003,924.8500000000001
7,17321,2,201112,0,53.5,186.5,350.42999999999995,700.8599999999999
0,13142,1,201111,1,23.0,258.0,307.0899999999999,307.0899999999999
0,14737,3,201112,0,5.666666666666667,115.0,388.18333333333334,1164.55
7,16412,1,201110,2,35.0,73.0,151.83,151.83
3,15262,1,201101,11,10.0,73.0,178.95000000000002,178.95000000000002
0,18040,2,201111,1,9.5,74.0,178.60000000000002,357.20000000000005
6,17865,19,201111,1,19.36842105263158,302.3157894736842,548.5378947368422,10422.220000000001
0,17370,4,201109,3,8.25,135.0,111.545,446.18
3,16769,1,201103,9,40.0,83.0,380.3899999999999,380.3899999999999
7,12380,4,201111,1,25.0,277.5,606.9525,2427.81
0,15367,4,201110,2,23.75,264.25,469.3974999999999,1877.5899999999997
3,15448,1,201101,11,28.0,232.0,494.64000000000004,494.64000000000004
3,16565,1,201100,12,3.0,46.0,173.7,173.7
0,15801,3,201110,2,21.333333333333332,190.0,354.6499999999999,1063.9499999999998
2,16240,2,201111,1,67.5,820.5,1859.4000000000003,3718.8000000000006
7,13278,1,201110,2,46.0,537.0,542.73,542.73
7,15255,1,201110,2,47.0,489.0,890.8499999999999,890.8499999999999
0,12723,5,201112,0,13.6,86.6,141.414,707.0699999999999
0,13082,9,201108,4,8.11111111111111,480.44444444444446,401.51444444444445,3613.63
7,16910,8,201112,0,68.375,110.75,188.7575,1510.06
0,13134,4,201109,3,24.25,263.25,442.02,1768.08
3,14828,3,201105,7,5.666666666666667,724.0,713.2533333333334,2139.76
0,12947,6,201107,5,15.666666666666666,193.33333333333334,239.5233333333333,1437.1399999999999
7,14204,1,201112,0,44.0,82.0,161.02999999999997,161.02999999999997
7,13634,5,201111,1,37.6,140.8,315.0319999999999,1575.1599999999996
0,16466,7,201111,1,21.142857142857142,112.71428571428571,229.06571428571428,1603.46
3,17486,1,201103,9,24.0,191.0,396.87000000000006,396.87000000000006
0,16979,6,201112,0,14.5,143.33333333333334,301.50833333333327,1809.0499999999997
7,14396,2,201110,2,36.5,112.5,243.99499999999998,487.98999999999995
0,16313,2,201112,0,8.0,82.5,137.07500000000002,274.15000000000003
3,16850,1,201101,11,19.0,249.0,332.40999999999997,332.40999999999997
0,17951,3,201110,2,6.666666666666667,205.33333333333334,336.18000000000006,1008.5400000000002
0,13189,2,201111,1,14.5,421.0,130.34,260.68
2,14675,1,201111,1,102.0,341.0,604.7499999999999,604.7499999999999
7,14125,3,201111,1,55.666666666666664,546.6666666666666,913.4766666666668,2740.4300000000003
0,14757,1,201109,3,19.0,160.0,420.5,420.5
0,13085,2,201107,5,8.5,69.0,160.04,320.08
0,13630,6,201112,0,11.333333333333334,231.16666666666666,337.3466666666667,2024.0800000000002
6,13668,21,201112,0,22.19047619047619,176.85714285714286,301.18285714285713,6324.84
0,14739,7,201112,0,8.571428571428571,545.7142857142857,557.4685714285714,3902.28
0,16086,5,201110,2,7.8,102.2,224.27800000000002,1121.39
7,16261,4,201111,1,31.0,76.5,186.70750000000004,746.8300000000002
3,15658,4,201106,6,11.5,60.0,250.71250000000003,1002.8500000000001
