Country,CustomerID,Description,InvoiceDate,InvoiceNo,Quantity,StockCode,UnitPrice
United Kingdom,customer18,BLUE POLKADOT WRAP,2018-03-26,70003,3,21499,0.34
United Kingdom,customer18,CHRISTMAS CRAFT LITTLE FRIENDS,2018-03-26,70003,1,22144,2.1
United Kingdom,customer18,PAPER BUNTING RETROSPOT,2018-03-26,70003,6,22090,5.91
United Kingdom,customer18,SWEETHEART CAKESTAND 3 TIER,2018-03-26,70003,12,22776,9.95
United Kingdom,customer18,CHOCOLATE THIS WAY METAL SIGN,2018-03-26,70003,5,21908,4.21
United Kingdom,customer18,CERAMIC HEART FAIRY CAKE MONEY BANK,2018-03-26,70003,3,22645,1.45
United Kingdom,customer18,SET OF 72 SKULL PAPER  DOILIES,2018-03-26,70003,6,21211,1.45
United Kingdom,customer18,METAL TUBE CHIME ON BAMBOO,2018-03-26,70003,1,75131,3.36
United Kingdom,customer18,JUMBO BAG RED RETROSPOT,2018-03-26,70003,1,85099B,1.65
United Kingdom,customer18,SUKI  SHOULDER BAG,2018-03-26,70003,1,21935,3.36
United Kingdom,customer18,LUNCH BAG SUKI  DESIGN ,2018-03-26,70003,16,22383,1.65
United Kingdom,customer18,DOORMAT KEEP CALM AND COME IN,2018-03-26,70003,1,23284,6.75
United Kingdom,customer18,FRIDGE MAGNETS US DINER ASSORTED,2018-03-26,70003,1,22922,0.85
United Kingdom,customer18,WALL TIDY RETROSPOT ,2018-03-26,70003,12,22378,4.21
United Kingdom,customer18,ICE CREAM PEN LIP GLOSS ,2018-03-26,70003,12,23078,1.25
United Kingdom,customer18,PLASTERS IN TIN SKULLS,2018-03-26,70003,12,22553,1.65
United Kingdom,customer18,JUMBO STORAGE BAG SKULLS,2018-03-26,70003,2,21930,1.95
United Kingdom,customer18,DOORMAT HEARTS,2018-03-26,70003,6,48194,7.95
United Kingdom,customer18,BLUE HAPPY BIRTHDAY BUNTING,2018-03-26,70003,12,47590A,11.02
United Kingdom,customer18,SCOTTIE DOG HOT WATER BOTTLE,2018-03-26,70003,4,22111,4.95
United Kingdom,customer18,BLUE PUDDING SPOON,2018-03-26,70003,50,21401,0.42
United Kingdom,customer18,RECIPE BOX PANTRY YELLOW DESIGN,2018-03-26,70003,2,22666,2.95
United Kingdom,customer24,BLUE PAPER PARASOL ,2018-02-02,70004,12,15044B,2.95
United Kingdom,customer24,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2018-02-02,70004,1,72351A,4.21
United Kingdom,customer24,MAKE YOUR OWN MONSOON CARD KIT,2018-02-02,70004,2,22744,2.95
United Kingdom,customer24,FANCY FONTS BIRTHDAY WRAP,2018-02-02,70004,1,21497,0.42
United Kingdom,customer24,GLASS CLOCHE SMALL,2018-02-02,70004,3,22778,3.95
United Kingdom,customer24,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,2018-02-02,70004,6,21640,1.66
United Kingdom,customer24,JUMBO STORAGE BAG SUKI,2018-02-02,70004,12,21931,1.95
United Kingdom,customer24,TRADITIONAL WOODEN CATCH CUP GAME ,2018-02-02,70004,1,21892,1.25
United Kingdom,customer24,BLUE PAISLEY POCKET BOOK,2018-02-02,70004,3,20755,0.85
United Kingdom,customer24,BEADED PEARL HEART WHITE ON STICK,2018-02-02,70004,8,85131A,1.25
United Kingdom,customer24,LUNCH BAG DOLLY GIRL DESIGN,2018-02-02,70004,20,22662,1.65
United Kingdom,customer24,PINK FAIRY CAKE CHILDRENS APRON,2018-02-02,70004,3,47591D,4.21
United Kingdom,customer24,JUMBO BAG OWLS,2018-02-02,70004,6,20713,1.95
United Kingdom,customer24,SET OF 6 SNACK LOAF BAKING CASES,2018-02-02,70004,28,23294,0.72
United Kingdom,customer24,SET/20 RED RETROSPOT PAPER NAPKINS ,2018-02-02,70004,6,21080,0.64
United Kingdom,customer24,HOT WATER BOTTLE KEEP CALM,2018-02-02,70004,24,23355,4.95
United Kingdom,customer24,BLUE CUSHION COVER WITH FLOWER,2018-02-02,70004,10,84919,6.95
United Kingdom,customer24,PACK OF 72 RETROSPOT CAKE CASES,2018-02-02,70004,1,21212,0.42
United Kingdom,customer24,BUFFALO BILL TREASURE BOOK BOX,2018-02-02,70004,2,23193,2.25
United Kingdom,customer24,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,2018-02-02,70004,10,23192,1.65
United Kingdom,customer24,REGENCY MILK JUG PINK ,2018-02-02,70004,2,23175,3.25
United Kingdom,customer24,SMALL GLASS SUNDAE DISH CLEAR,2018-02-02,70004,1,20802,1.65
United Kingdom,customer27,ALPHABET STENCIL CRAFT,2018-02-21,70005,24,22564,1.25
United Kingdom,customer27,PANTRY ROLLING PIN,2018-02-21,70005,2,22978,3.75
United Kingdom,customer27,PIGGY BANK RETROSPOT ,2018-02-21,70005,504,22637,2.55
United Kingdom,customer27,LARGE TORTILLA DESIGN RED BOWL,2018-02-21,70005,18,84595E,3.75
United Kingdom,customer27,"GARLAND, VINTAGE BELLS",2018-02-21,70005,24,23489,2.89
United Kingdom,customer27,PACK OF 20 NAPKINS PANTRY DESIGN,2018-02-21,70005,96,22907,0.85
United Kingdom,customer27,DOORMAT KEEP CALM AND COME IN,2018-02-21,70005,48,23284,6.75
United Kingdom,customer27,60 CAKE CASES DOLLY GIRL DESIGN,2018-02-21,70005,2,22951,0.55
United Kingdom,customer27,EMBROIDERED RIBBON REEL DAISY ,2018-02-21,70005,12,23515,2.08
United Kingdom,customer27,SMOKEY GREY COLOUR D.O.F. GLASS,2018-02-21,70005,24,79051A,0.65
United Kingdom,customer27,KINGS CHOICE MUG,2018-02-21,70005,5,21875,3.36
United Kingdom,customer27,HANGING METAL HEART LANTERN,2018-02-21,70005,16,22464,1.65
United Kingdom,customer27,PARISIENNE KEY CABINET ,2018-02-21,70005,6,23110,5.75
United Kingdom,customer27,GYMKHANNA TREASURE BOOK BOX,2018-02-21,70005,2,23194,2.25
United Kingdom,customer27,CITRONELLA CANDLE GARDEN POT,2018-02-21,70005,20,21714,1.25
United Kingdom,customer2,SPACEBOY CHILDRENS BOWL,2018-08-31,70006,10,23290,1.25
United Kingdom,customer2,ANTIQUE SILVER TEA GLASS ENGRAVED,2018-08-31,70006,6,84947,1.06
United Kingdom,customer2,ASSORTED EASTER GIFT TAGS,2018-08-31,70006,2,22857,0.85
United Kingdom,customer3,SET OF 12 FAIRY CAKE BAKING CASES,2018-09-28,70007,12,23293,0.72
United Kingdom,customer3,SET OF 4 KNICK KNACK TINS LEAVES ,2018-09-28,70007,7,23237,4.15
United Kingdom,customer3,LUNCH BAG RED RETROSPOT,2018-09-28,70007,1,20725,1.65
United Kingdom,customer3,RED BABY BUNTING ,2018-09-28,70007,3,22669,5.91
United Kingdom,customer3,NO JUNK MAIL METAL SIGN,2018-09-28,70007,12,21179,1.25
United Kingdom,customer3,BELL HEART DECORATION,2018-09-28,70007,4,23103,1.65
United Kingdom,customer3,ROTATING SILVER ANGELS T-LIGHT HLDR,2018-09-28,70007,3,84347,2.55
United Kingdom,customer3,SMALL REGAL  SILVER CANDLEPOT ,2018-09-28,70007,2,21694,2.95
United Kingdom,customer3,SMALL RED BABUSHKA NOTEBOOK ,2018-09-28,70007,1,22754,0.85
United Kingdom,customer3,COFFEE MUG PEARS  DESIGN,2018-09-28,70007,2,22302,2.55
United Kingdom,customer3,SET 10 LIGHTS NIGHT OWL,2018-09-28,70007,4,22179,6.75
United Kingdom,customer3,ENAMEL COLANDER CREAM,2018-09-28,70007,1,22425,10.17
United Kingdom,customer3,SMALL YELLOW BABUSHKA NOTEBOOK ,2018-09-28,70007,25,22753,0.85
United Kingdom,customer3,BOX OF 24 COCKTAIL PARASOLS,2018-09-28,70007,2,84692,0.42
United Kingdom,customer3,WOODEN PICTURE FRAME WHITE FINISH,2018-09-28,70007,10,82482,2.1
United Kingdom,customer3,RED PAPER PARASOL,2018-09-28,70007,5,15044D,5.91
United Kingdom,customer3,SET OF 72 PINK HEART PAPER DOILIES,2018-09-28,70007,3,84988,2.98
United Kingdom,customer3,PINK UNION JACK  LUGGAGE TAG,2018-09-28,70007,7,21867,1.25
United Kingdom,customer3,ROTATING SILVER ANGELS T-LIGHT HLDR,2018-09-28,70007,12,84347,2.55
United Kingdom,customer3,ENAMEL WASH BOWL CREAM,2018-09-28,70007,2,22426,3.75
United Kingdom,customer3,"ASSORTED FLOWER COLOUR ""LEIS""",2018-09-28,70007,72,84212,0.65
United Kingdom,customer3,VINTAGE DOILY JUMBO BAG RED ,2018-09-28,70007,2,23582,2.08
United Kingdom,customer3,CHARLOTTE BAG SUKI DESIGN,2018-09-28,70007,12,22355,0.85
United Kingdom,customer3,COLOURING PENCILS BROWN TUBE,2018-09-28,70007,2,10135,2.51
United Kingdom,customer3,RED RETROSPOT PICNIC BAG,2018-09-28,70007,6,21936,5.91
United Kingdom,customer3,SET/3 RED GINGHAM ROSE STORAGE BOX,2018-09-28,70007,12,21430,3.75
United Kingdom,customer3,JUMBO BAG RED RETROSPOT,2018-09-28,70007,1,85099B,1.65
United Kingdom,customer3,EASTER TREE YELLOW BIRDS,2018-09-28,70007,5,22281,12.72
United Kingdom,customer3,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,2018-09-28,70007,10,22805,1.25
United Kingdom,customer3,SPACEBOY GIFT WRAP,2018-09-28,70007,5,22045,0.42
United Kingdom,customer3,RED RETROSPOT LUGGAGE TAG,2018-09-28,70007,12,20658,2.51
United Kingdom,customer3,SMALL YELLOW BABUSHKA NOTEBOOK ,2018-09-28,70007,9,22753,0.85
United Kingdom,customer7,SET OF 9 BLACK SKULL BALLOONS,2018-08-29,70008,4,22437,1.66
United Kingdom,customer7,SET 12 COLOUR PENCILS SPACEBOY ,2018-08-29,70008,1,23367,0.65
United Kingdom,customer7,STRAWBERRY RAFFIA FOOD COVER,2018-08-29,70008,1,21471,3.75
United Kingdom,customer7,DRAWER KNOB CRACKLE GLAZE PINK,2018-08-29,70008,12,23031,1.65
United Kingdom,customer7,SET/2 RED RETROSPOT TEA TOWELS ,2018-08-29,70008,1,21035,2.95
United Kingdom,customer7,BLUE FELT EASTER EGG BASKET,2018-08-29,70008,2,22021,1.65
United Kingdom,customer7,LUNCH BOX I LOVE LONDON,2018-08-29,70008,2,22659,1.95
United Kingdom,customer7,HEART T-LIGHT HOLDER WILLIE WINKIE,2018-08-29,70008,12,23273,1.65
United Kingdom,customer7,SET OF 6 3D KIT CARDS FOR KIDS,2018-08-29,70008,24,85227,1.66
United Kingdom,customer7,TRAVEL CARD WALLET VINTAGE TICKET,2018-08-29,70008,3,22996,0.36
United Kingdom,customer7,WOOD BLACK BOARD ANT WHITE FINISH,2018-08-29,70008,3,82484,6.45
United Kingdom,customer7,METAL MERRY CHRISTMAS WREATH,2018-08-29,70008,6,22575,1.95
United Kingdom,customer7,POLKADOT PEN,2018-08-29,70008,10,22740,0.85
United Kingdom,customer7,CERAMIC PIRATE CHEST MONEY BANK,2018-08-29,70008,1,22650,1.45
United Kingdom,customer7,IVORY WIRE SWEETHEART LETTER TRAY,2018-08-29,70008,2,23136,3.75
United Kingdom,customer7,HAND WARMER UNION JACK,2018-08-29,70008,36,22633,1.85
United Kingdom,customer7,SILVER GLASS T-LIGHT SET,2018-08-29,70008,12,85104,2.95
United Kingdom,customer7,SET OF 6 KASHMIR FOLKART BAUBLES,2018-08-29,70008,1,84944,4.25
United Kingdom,customer7,SET OF 4 KNICK KNACK TINS DOILEY ,2018-08-29,70008,2,23240,4.15
United Kingdom,customer7,SWEETHEART BIRD HOUSE,2018-08-29,70008,1,23461,4.15
United Kingdom,customer7,IVORY GIANT GARDEN THERMOMETER,2018-08-29,70008,5,22926,5.95
United Kingdom,customer7,LUNCH BAG CARS BLUE,2018-08-29,70008,2,20728,1.65
United Kingdom,customer7,PINK CREAM FELT CRAFT TRINKET BOX ,2018-08-29,70008,12,20972,1.25
United Kingdom,customer7,STRAWBERRY BATH SPONGE ,2018-08-29,70008,12,20961,1.25
United Kingdom,customer7,PENCIL CASE LIFE IS BEAUTIFUL,2018-08-29,70008,1,22445,2.95
United Kingdom,customer7,SET/3 RED GINGHAM ROSE STORAGE BOX,2018-08-29,70008,48,21430,3.75
United Kingdom,customer7,COOK WITH WINE METAL SIGN ,2018-08-29,70008,2,21166,1.95
United Kingdom,customer7,SET OF 10 LED DOLLY LIGHTS,2018-08-29,70008,4,23108,6.25
United Kingdom,customer7,CHRISTMAS TREE STAR DECORATION,2018-08-29,70008,4,21803,0.43
United Kingdom,customer7,SWEETHEART CERAMIC TRINKET BOX,2018-08-29,70008,1,21231,2.51
United Kingdom,customer7,SET/6 RED SPOTTY PAPER CUPS,2018-08-29,70008,5,21086,0.65
United Kingdom,customer7,JAZZ HEARTS PURSE NOTEBOOK,2018-08-29,70008,32,20992,0.85
United Kingdom,customer24,GYMKHANNA TREASURE BOOK BOX,2018-03-17,70009,1,23194,2.25
United Kingdom,customer24,VINTAGE CHRISTMAS STOCKING ,2018-03-17,70009,1,23311,2.55
United Kingdom,customer19,PACK OF 12 VINTAGE DOILY TISSUES,2018-12-21,70010,2,23380,0.39
United Kingdom,customer19,NO SINGING METAL SIGN,2018-12-21,70010,3,82600,2.1
United Kingdom,customer19,DANISH ROSE DECORATIVE PLATE,2018-12-21,70010,12,84817,0.42
United Kingdom,customer19,COWBOYS AND INDIANS BIRTHDAY CARD ,2018-12-21,70010,1,21509,0.42
United Kingdom,customer19,BOUDOIR SQUARE TISSUE BOX,2018-12-21,70010,12,22098,1.25
United Kingdom,customer19,CLOTHES PEGS RETROSPOT PACK 24 ,2018-12-21,70010,1,22558,1.25
United Kingdom,customer19,SET OF 3 HEART COOKIE CUTTERS,2018-12-21,70010,12,84378,1.25
United Kingdom,customer19,EMERGENCY FIRST AID TIN ,2018-12-21,70010,13,22494,1.25
United Kingdom,customer19,DOLLY GIRL CHILDRENS CUP,2018-12-21,70010,10,23291,1.25
United Kingdom,customer1,DINOSAUR PARTY BAG + STICKER SET,2018-05-16,70011,1,22334,1.65
United Kingdom,customer1,JUMBO SHOPPER VINTAGE RED PAISLEY,2018-05-16,70011,1,22411,1.95
United Kingdom,customer1,DOORMAT UNION FLAG,2018-05-16,70011,1,48138,7.95
United Kingdom,customer1,ENAMEL FLOWER JUG CREAM,2018-05-16,70011,1,22427,5.95
United Kingdom,customer1,HOT WATER BOTTLE I AM SO POORLY,2018-05-16,70011,1,22835,4.65
United Kingdom,customer1,SILVER VANILLA  FLOWER CANDLE POT,2018-05-16,70011,9,21689,3.75
United Kingdom,customer1,JUMBO BAG VINTAGE CHRISTMAS ,2018-05-16,70011,12,23343,2.08
United Kingdom,customer1,TRADTIONAL ALPHABET STAMP SET,2018-05-16,70011,1,23569,4.95
United Kingdom,customer1,SET OF 60 I LOVE LONDON CAKE CASES ,2018-05-16,70011,1,23309,0.55
United Kingdom,customer1,FELTCRAFT DOLL EMILY,2018-05-16,70011,1,22274,2.95
United Kingdom,customer1,MAGIC DRAWING SLATE PURDEY,2018-05-16,70011,12,22536,0.85
United Kingdom,customer1,WHITE JEWELLED HEART DECORATION,2018-05-16,70011,1,85061W,0.85
United Kingdom,customer1,BIRD HOUSE HOT WATER BOTTLE,2018-05-16,70011,3,22110,2.55
United Kingdom,customer1,SET OF 10 LED DOLLY LIGHTS,2018-05-16,70011,6,23108,6.25
United Kingdom,customer1,PACK OF 72 RETROSPOT CAKE CASES,2018-05-16,70011,5,21212,0.42
United Kingdom,customer22,JUMBO BAG CHARLIE AND LOLA TOYS,2018-02-22,70012,10,21033,2.95
United Kingdom,customer22,RED TOADSTOOL LED NIGHT LIGHT,2018-02-22,70012,8,21731,1.65
United Kingdom,customer22,GINGERBREAD MAN COOKIE CUTTER,2018-02-22,70012,1,22966,1.25
United Kingdom,customer22,HAND WARMER BIRD DESIGN,2018-02-22,70012,12,22867,2.1
United Kingdom,customer22,SALLE DE BAIN HOOK,2018-02-22,70012,1,21272,2.51
United Kingdom,customer22,CARD MOTORBIKE SANTA,2018-02-22,70012,4,22816,0.85
United Kingdom,customer22,GUMBALL COAT RACK,2018-02-22,70012,36,22467,2.55
United Kingdom,customer22,SIX DRAWER OFFICE TIDY,2018-02-22,70012,104,23471,9.95
United Kingdom,customer22,WOODLAND MINI BACKPACK,2018-02-22,70012,12,23388,4.15
United Kingdom,customer22,PINK UNION JACK  LUGGAGE TAG,2018-02-22,70012,4,21867,1.25
United Kingdom,customer22,RED STRIPE CERAMIC DRAWER KNOB,2018-02-22,70012,24,21668,1.25
United Kingdom,customer22,ALARM CLOCK BAKELIKE CHOCOLATE,2018-02-22,70012,1,22725,3.75
United Kingdom,customer22,ANTIQUE GLASS DRESSING TABLE POT,2018-02-22,70012,25,22798,2.95
United Kingdom,customer22,4 IVORY DINNER CANDLES SILVER FLOCK,2018-02-22,70012,24,72800E,2.55
United Kingdom,customer22,CHRISTMAS GINGHAM STAR,2018-02-22,70012,6,22593,0.85
United Kingdom,customer22,WOOD STAMP SET FLOWERS,2018-02-22,70012,3,22211,1.65
United Kingdom,customer22,HANGING HEART MIRROR DECORATION ,2018-02-22,70012,12,22227,0.65
United Kingdom,customer22,EASTER CRAFT 4 CHICKS ,2018-02-22,70012,3,22148,4.21
United Kingdom,customer22,ZINC T-LIGHT HOLDER STARS SMALL,2018-02-22,70012,2,23144,0.72
United Kingdom,customer22,GINGERBREAD MAN COOKIE CUTTER,2018-02-22,70012,1,22966,1.25
United Kingdom,customer22,RED RETROSPOT BOWL,2018-02-22,70012,1,20676,2.51
United Kingdom,customer22,PLASTERS IN TIN CIRCUS PARADE ,2018-02-22,70012,2,22556,1.65
United Kingdom,customer22,REGENCY CAKESTAND 3 TIER,2018-02-22,70012,12,22423,10.95
United Kingdom,customer22,MINI PAINT SET VINTAGE ,2018-02-22,70012,4,22492,0.65
United Kingdom,customer22,AIRLINE BAG VINTAGE JET SET RED,2018-02-22,70012,24,22374,4.25
United Kingdom,customer24,POPPY'S PLAYHOUSE BEDROOM ,2018-03-18,70013,6,22745,2.1
United Kingdom,customer24,RUBY GLASS CLUSTER EARRINGS,2018-03-18,70013,1,90071,1.26
United Kingdom,customer24,SET 12 COLOUR PENCILS DOLLY GIRL ,2018-03-18,70013,3,23368,0.65
United Kingdom,customer24,BLUE STRIPE CERAMIC DRAWER KNOB,2018-03-18,70013,1,21669,1.25
United Kingdom,customer24,FAMILY ALBUM WHITE PICTURE FRAME,2018-03-18,70013,12,22169,16.98
United Kingdom,customer24,WALL TIDY RETROSPOT ,2018-03-18,70013,1,22378,4.21
United Kingdom,customer24,PINK BUTTERFLY HANDBAG W BOBBLES,2018-03-18,70013,2,84923,4.21
United Kingdom,customer24,ZINC  HEART T-LIGHT HOLDER,2018-03-18,70013,1,23087,1.25
United Kingdom,customer24,PINK ENAMEL+GLASS HAIR COMB,2018-03-18,70013,1,90209C,2.11
United Kingdom,customer24,PINK  POLKADOT CUP,2018-03-18,70013,2,21239,0.85
United Kingdom,customer24,JUMBO BAG PINK VINTAGE PAISLEY,2018-03-18,70013,5,21929,1.95
United Kingdom,customer24,RED HEART SHAPE LOVE BUCKET ,2018-03-18,70013,3,21563,5.91
United Kingdom,customer24,GREEN ENAMEL FLOWER RING,2018-03-18,70013,3,90201D,2.96
United Kingdom,customer24,WHITE  ROSEBUD PEARL BRACELET,2018-03-18,70013,1,90164B,7.64
United Kingdom,customer24,HOT WATER BOTTLE KEEP CALM,2018-03-18,70013,12,23355,4.95
United Kingdom,customer24,WHITE WOOD GARDEN PLANT LADDER,2018-03-18,70013,25,22487,9.95
United Kingdom,customer24,PAINTED LIGHTBULB STAR+ MOON,2018-03-18,70013,2,79144B,0.42
United Kingdom,customer24,SMALL CHOCOLATES PINK BOWL,2018-03-18,70013,2,84596G,1.25
United Kingdom,customer24,BAKING MOULD CHOCOLATE CUPCAKES,2018-03-18,70013,12,22937,2.55
United Kingdom,customer24,RED RETROSPOT PURSE ,2018-03-18,70013,1,20665,2.95
United Kingdom,customer24,CRAZY DAISY HEART DECORATION,2018-03-18,70013,12,20707,1.25
United Kingdom,customer24,HAND WARMER BIRD DESIGN,2018-03-18,70013,10,22867,2.1
United Kingdom,customer24,VINTAGE CARAVAN GREETING CARD ,2018-03-18,70013,6,22035,0.42
United Kingdom,customer24,ZINC WILLIE WINKIE  CANDLE STICK,2018-03-18,70013,12,84832,0.85
United Kingdom,customer24,ALARM CLOCK BAKELIKE RED ,2018-03-18,70013,24,22727,3.75
United Kingdom,customer24,RETRO LEAVES MAGNETIC NOTEPAD,2018-03-18,70013,1,23196,1.45
United Kingdom,customer24,TEA TIME OVEN GLOVE,2018-03-18,70013,10,47559b,3.36
United Kingdom,customer24,TOY TIDY SPACEBOY  ,2018-03-18,70013,6,22380,4.21
United Kingdom,customer24,CREAM WALL PLANTER HEART SHAPED,2018-03-18,70013,12,22822,12.72
United Kingdom,customer24,BLUE HARMONICA IN BOX ,2018-03-18,70013,2,21914,1.25
United Kingdom,customer24,PINK OWL SOFT TOY,2018-03-18,70013,2,22175,5.91
United Kingdom,customer24,ROTATING SILVER ANGELS T-LIGHT HLDR,2018-03-18,70013,24,84347,2.55
United Kingdom,customer24,SET OF 6 NATIVITY MAGNETS ,2018-03-18,70013,1,23157,2.08
United Kingdom,customer24,VICTORIAN SEWING BOX LARGE,2018-03-18,70013,2,21258,10.95
United Kingdom,customer24,LUNCH BAG SPACEBOY DESIGN ,2018-03-18,70013,6,22382,1.65
United Kingdom,customer24,SMALL HEART FLOWERS HOOK ,2018-03-18,70013,4,84971S,0.85
United Kingdom,customer24,PINK POT PLANT CANDLE,2018-03-18,70013,2,20932,7.62
United Kingdom,customer24,SET OF 3 REGENCY CAKE TINS,2018-03-18,70013,1,23245,4.95
United Kingdom,customer24,DARK BIRD HOUSE TREE DECORATION,2018-03-18,70013,12,21015,1.28
United Kingdom,customer24,DOORMAT KEEP CALM AND COME IN,2018-03-18,70013,10,23284,6.75
United Kingdom,customer24,MINT KITCHEN SCALES,2018-03-18,70013,3,22627,8.5
United Kingdom,customer24,PACK OF 20 NAPKINS PANTRY DESIGN,2018-03-18,70013,1,22907,0.85
United Kingdom,customer24,SET OF 6 HEART CHOPSTICKS,2018-03-18,70013,2,21947,1.25
United Kingdom,customer24,CHRISTMAS METAL TAGS ASSORTED ,2018-03-18,70013,1,22945,0.85
United Kingdom,customer24,HAND WARMER BABUSHKA DESIGN,2018-03-18,70013,1,22834,2.1
United Kingdom,customer24,BALLOON PUMP WITH 10 BALLOONS,2018-03-18,70013,8,22434,1.95
United Kingdom,customer24,JUMBO STORAGE BAG SUKI,2018-03-18,70013,20,21931,1.95
United Kingdom,customer24,WHITE HANGING HEART T-LIGHT HOLDER,2018-03-18,70013,3,85123A,2.55
United Kingdom,customer24,SET OF 4 KNICK KNACK TINS DOILEY ,2018-03-18,70013,1,23240,4.15
United Kingdom,customer24,ENGLISH ROSE GARDEN SECATEURS,2018-03-18,70013,4,47504K,1.95
United Kingdom,customer24,VINTAGE SNAP CARDS,2018-03-18,70013,1,21790,0.85
United Kingdom,customer24,TOILET SIGN OCCUPIED OR VACANT,2018-03-18,70013,2,23182,0.83
United Kingdom,customer24,PAPER CHAIN KIT EMPIRE,2018-03-18,70013,1,22084,5.91
United Kingdom,customer24,WOODEN ROUNDERS GARDEN SET ,2018-03-18,70013,4,22607,9.95
United Kingdom,customer24,SKULL AND CROSSBONES  GARLAND ,2018-03-18,70013,1,21207,3.36
United Kingdom,customer21,"FANCY FONT BIRTHDAY CARD, ",2018-09-18,70014,12,21506,0.42
United Kingdom,customer21,SET OF 36 DOILIES PANTRY DESIGN,2018-03-07,70015,1,23306,1.45
United Kingdom,customer21,JUMBO BAG APPLES,2018-03-07,70015,3,23199,2.08
United Kingdom,customer21,STRAWBERRY RAFFIA FOOD COVER,2018-03-07,70015,5,21471,3.75
United Kingdom,customer16,DOORMAT FAIRY CAKE,2018-08-02,70016,1,48185,7.95
United Kingdom,customer16,JUMBO SHOPPER VINTAGE RED PAISLEY,2018-08-02,70016,20,22411,1.95
United Kingdom,customer16,LOVE HEART TRINKET POT,2018-08-02,70016,7,22066,1.45
United Kingdom,customer16,PINK FLORAL FELTCRAFT SHOULDER BAG,2018-08-02,70016,5,20970,3.75
United Kingdom,customer20,HEART DECORATION PAINTED ZINC ,2018-05-08,70017,3,22335,1.28
United Kingdom,customer20,LUNCH BAG WOODLAND,2018-05-08,70017,12,20726,1.65
United Kingdom,customer20,RETROSPOT GIANT TUBE MATCHES,2018-05-08,70017,25,21588,2.55
United Kingdom,customer20,CIRCUS PARADE BABY GIFT SET,2018-05-08,70017,1,23010,16.95
United Kingdom,customer20,ABC TREASURE BOOK BOX ,2018-05-08,70017,2,23176,2.25
United Kingdom,customer5,TEA TIME PARTY BUNTING,2018-06-09,70018,6,47566B,8.47
United Kingdom,customer5,CHOCOLATE THIS WAY METAL SIGN,2018-06-09,70018,6,21908,4.21
United Kingdom,customer5,SET OF 2 TINS JARDIN DE PROVENCE,2018-06-09,70018,4,22500,4.95
United Kingdom,customer5,RETRO LEAVES MAGNETIC NOTEPAD,2018-06-09,70018,12,23196,1.45
United Kingdom,customer5,CHRISTMAS LIGHTS 10 REINDEER,2018-06-09,70018,480,22941,8.5
United Kingdom,customer5,COCKLE SHELL DISH,2018-06-09,70018,6,21417,2.1
