cluster_k,CustomerID,InvoiceNumberYear,LastInvoiceMonth,LastInvoiceMonthNb,MeanLinesPerInvoice,MeanQuantityPerInvoice,MeanAmountPerInvoice,TotalAmountSpent
6,12601,5,201106,6,4.6,48.0,97.412,487.06000000000006
0,12602,1,201110,2,12.0,162.0,153.12000000000003,153.12000000000003
4,12603,1,201111,1,1.0,56.0,613.1999999999999,613.1999999999999
0,12604,2,201109,3,7.5,100.0,118.09,236.18
1,12609,3,201109,3,19.0,213.0,321.6166666666667,964.85
5,12611,1,201110,2,65.0,846.0,1193.32,1193.32
4,12612,1,201109,3,18.0,260.0,668.0400000000001,668.0400000000001
7,12614,1,201103,9,20.0,76.0,315.59999999999997,315.59999999999997
4,12616,2,201109,3,15.0,140.0,320.65,641.3
4,12617,1,201111,1,42.0,213.0,355.5300000000002,355.5300000000002
0,12618,1,201111,1,10.0,95.0,137.31,137.31
1,12620,3,201111,1,30.333333333333332,393.0,434.46999999999997,1303.4099999999999
7,12622,1,201104,8,10.0,68.0,162.09999999999997,162.09999999999997
7,12623,1,201103,9,17.0,189.0,269.1,269.1
4,12624,2,201108,4,18.0,175.5,284.565,569.13
6,12628,3,201112,0,12.666666666666666,148.33333333333334,244.15333333333334,732.46
1,12630,2,201111,1,31.0,271.0,515.44,1030.88
4,12631,1,201110,2,30.0,232.0,480.50000000000017,480.50000000000017
5,12635,2,201109,3,49.5,581.0,754.5899999999997,1509.1799999999994
4,12638,1,201111,1,38.0,573.0,511.69,511.69
7,12639,1,201104,8,21.0,198.0,366.1,366.1
1,12640,3,201111,1,16.666666666666668,100.33333333333333,331.52666666666664,994.5799999999999
0,12641,1,201108,4,9.0,71.0,145.9,145.9
6,12642,3,201111,1,14.666666666666666,182.0,301.75333333333333,905.26
4,12644,1,201108,4,31.0,325.0,477.9100000000001,477.9100000000001
1,12645,4,201111,1,17.0,266.0,402.84499999999997,1611.3799999999999
1,12646,2,201112,0,22.5,448.5,673.4849999999999,1346.9699999999998
4,12648,1,201107,5,20.0,159.0,300.05,300.05
6,12649,3,201108,4,9.666666666666666,194.33333333333334,189.83666666666667,569.51
0,12650,1,201112,0,19.0,250.0,242.44,242.44
7,12651,1,201101,11,9.0,78.0,114.00000000000003,114.00000000000003
5,12652,1,201101,11,47.0,498.0,793.9799999999998,793.9799999999998
6,12654,5,201111,1,6.8,52.0,105.99600000000001,529.98
6,12657,4,201111,1,9.0,161.5,252.015,1008.06
4,12658,1,201111,1,35.0,317.0,632.0500000000001,632.0500000000001
0,12659,1,201111,1,4.0,104.0,73.68,73.68
0,12660,1,201111,1,12.0,126.0,227.10000000000002,227.10000000000002
7,12665,1,201101,11,2.0,36.0,45.0,45.0
4,12667,1,201110,2,32.0,391.0,460.12999999999994,460.12999999999994
5,12669,2,201107,5,49.0,552.0,713.8650000000001,1427.7300000000002
7,12672,1,201101,11,10.0,78.0,225.9,225.9
4,12673,2,201112,0,20.5,174.5,287.26,574.52
3,12676,6,201111,1,6.5,110.66666666666667,181.89833333333334,1091.39
6,12679,4,201110,2,10.75,134.25,233.85500000000008,935.4200000000003
6,12680,4,201112,0,12.25,109.75,197.70249999999996,790.8099999999998
7,12686,1,201100,12,6.0,106.0,71.14,71.14
1,12689,2,201111,1,35.0,311.0,569.8050000000002,1139.6100000000004
7,12690,1,201105,7,15.0,103.0,335.00999999999993,335.00999999999993
6,12691,5,201111,1,5.4,77.6,185.56,927.8
6,12693,4,201108,4,8.75,61.75,177.9775,711.91
4,12694,2,201109,3,17.5,251.5,380.8349999999999,761.6699999999998
6,12695,4,201112,0,6.75,55.0,145.525,582.1
6,12697,3,201111,1,12.666666666666666,167.66666666666666,252.53000000000006,757.5900000000001
4,12701,2,201109,3,25.5,337.0,362.855,725.71
0,12702,1,201111,1,11.0,52.0,201.0,201.0
0,12703,1,201109,3,20.0,163.0,265.54999999999995,265.54999999999995
7,12707,1,201102,10,33.0,256.0,603.42,603.42
1,12710,3,201109,3,24.666666666666668,281.3333333333333,341.0066666666668,1023.0200000000003
5,12713,1,201112,0,37.0,505.0,794.5499999999998,794.5499999999998
4,12715,1,201108,4,20.0,195.0,273.86,273.86
1,12716,2,201112,0,33.5,351.5,481.7449999999998,963.4899999999996
4,12717,2,201107,5,26.5,251.0,415.49,830.98
0,12718,1,201109,3,18.0,201.0,202.25000000000003,202.25000000000003
4,12719,2,201112,0,17.5,179.0,268.775,537.55
6,12722,4,201109,3,12.5,140.5,233.24499999999998,932.9799999999999
6,12723,5,201112,0,13.6,86.6,141.414,707.0699999999999
6,12724,4,201112,0,12.25,109.75,230.85250000000005,923.4100000000002
7,12725,1,201100,12,23.0,162.0,371.79999999999995,371.79999999999995
6,12728,4,201109,3,10.5,103.25,182.08249999999998,728.3299999999999
4,12729,1,201108,4,25.0,231.0,417.0100000000001,417.0100000000001
7,12732,1,201106,6,11.0,110.0,218.2600000000001,218.2600000000001
7,12733,1,201104,8,22.0,137.0,383.95,383.95
7,12734,1,201100,12,4.0,88.0,110.39999999999999,110.39999999999999
7,12735,2,201101,11,20.5,181.5,344.7849999999999,689.5699999999998
7,12736,1,201101,11,3.0,168.0,144.0,144.0
7,12738,1,201100,12,10.0,147.0,137.35,137.35
5,12739,1,201109,3,37.0,485.0,975.5400000000001,975.5400000000001
4,12740,1,201110,2,27.0,342.0,427.5999999999999,427.5999999999999
2,12743,2,201107,5,67.0,159.5,273.215,546.43
0,12750,1,201108,4,15.0,137.0,275.88,275.88
0,12756,1,201109,3,4.0,144.0,112.08000000000001,112.08000000000001
1,12759,3,201110,2,30.666666666666668,298.0,470.48,1411.44
4,12763,2,201107,5,9.0,158.0,247.04,494.08
5,12769,1,201104,8,32.0,356.0,1143.6000000000001,1143.6000000000001
5,12770,1,201105,7,12.0,743.0,1351.4499999999998,1351.4499999999998
5,12772,1,201110,2,54.0,551.0,752.4700000000004,752.4700000000004
3,12775,5,201111,1,12.0,169.2,249.24800000000005,1246.2400000000002
3,12778,6,201111,1,7.333333333333333,136.16666666666666,115.53833333333334,693.23
4,12781,2,201110,2,11.5,323.0,375.49,750.98
1,12783,4,201112,0,19.5,152.75,323.9675,1295.87
2,12784,1,201111,1,58.0,298.0,518.42,518.42
7,12785,1,201100,12,13.0,129.0,255.95,255.95
6,12787,3,201111,1,5.666666666666667,86.0,139.5533333333333,418.65999999999997
0,12789,1,201110,2,3.0,3.0,76.85000000000001,76.85000000000001
7,12790,1,201105,7,20.0,164.0,294.9200000000001,294.9200000000001
7,12791,1,201100,12,1.0,96.0,177.60000000000002,177.60000000000002
7,12792,1,201103,9,24.0,215.0,344.54,344.54
7,12793,2,201101,11,11.0,146.0,230.74,461.48
4,12794,2,201110,2,22.5,296.0,430.20500000000004,860.4100000000001
4,12795,1,201111,1,13.0,64.0,318.4800000000001,318.4800000000001
7,12797,1,201100,12,8.0,78.0,166.18000000000004,166.18000000000004
4,12802,1,201106,6,23.0,300.0,382.58,382.58
6,12808,3,201111,1,9.0,62.333333333333336,151.88333333333333,455.65
4,12809,1,201106,6,24.0,217.0,405.31,405.31
7,12811,2,201103,9,14.0,113.5,229.425,458.85
0,12812,1,201110,2,15.0,164.0,229.63999999999993,229.63999999999993
0,12814,1,201108,4,1.0,48.0,85.92,85.92
4,12815,2,201107,5,22.5,187.0,431.7299999999999,863.4599999999998
0,12816,2,201109,3,13.5,62.5,226.10000000000002,452.20000000000005
7,12817,1,201103,9,3.0,52.0,126.03999999999999,126.03999999999999
5,12818,1,201103,9,13.0,920.0,1182.08,1182.08
6,12820,4,201112,0,14.75,180.5,235.585,942.34
7,12821,1,201105,7,6.0,70.0,92.72,92.72
1,12822,2,201109,3,22.5,274.0,459.4899999999999,918.9799999999998
4,12824,1,201110,2,25.0,232.0,397.11999999999995,397.11999999999995
3,12826,7,201112,0,13.0,151.14285714285714,210.67428571428567,1474.7199999999998
6,12827,3,201112,0,8.333333333333334,65.66666666666667,143.38333333333333,430.15
3,12828,6,201112,0,9.333333333333334,82.33333333333333,169.785,1018.7099999999999
7,12829,2,201101,11,5.5,188.0,146.5,293.0
7,12831,1,201103,9,9.0,135.0,215.05,215.05
0,12832,2,201111,1,13.5,97.5,191.515,383.03
4,12833,1,201107,5,24.0,156.0,417.37999999999994,417.37999999999994
7,12834,1,201103,9,18.0,110.0,312.38,312.38
7,12837,1,201106,6,12.0,24.0,134.1,134.1
2,12838,2,201111,1,61.5,179.5,341.56499999999994,683.1299999999999
1,12842,2,201109,3,17.0,273.5,559.495,1118.99
0,12844,2,201111,1,26.0,62.5,162.98000000000002,325.96000000000004
7,12845,4,201103,9,6.75,51.0,88.5225,354.09
5,12847,1,201111,1,91.0,909.0,871.5399999999998,871.5399999999998
1,12849,2,201111,1,24.5,302.5,516.625,1033.25
2,12851,1,201109,3,50.0,109.0,135.17999999999995,135.17999999999995
7,12852,1,201102,10,17.0,149.0,311.54999999999995,311.54999999999995
1,12854,3,201109,3,36.666666666666664,209.0,441.5,1324.5
7,12855,1,201100,12,3.0,30.0,38.1,38.1
1,12857,2,201105,7,23.0,171.5,553.2,1106.4
4,12863,1,201110,2,5.0,188.0,521.2,521.2
0,12864,1,201107,5,3.0,216.0,147.12,147.12
5,12865,2,201111,1,47.5,462.5,784.1149999999998,1568.2299999999996
7,12866,1,201103,9,25.0,167.0,499.11999999999995,499.11999999999995
3,12868,6,201106,6,17.833333333333332,154.66666666666666,267.8433333333333,1607.06
0,12871,2,201109,3,5.5,100.0,190.32,380.64
7,12872,2,201101,11,33.0,159.5,299.985,599.97
7,12873,1,201103,9,4.0,128.0,374.0,374.0
0,12875,2,201107,5,1.0,1009.5,171.61500000000004,343.2300000000001
3,12877,12,201112,0,12.833333333333334,98.16666666666667,127.98083333333334,1535.77
4,12878,2,201104,8,23.5,273.5,427.495,854.99
6,12879,3,201110,2,3.3333333333333335,123.33333333333333,191.07333333333335,573.22
7,12881,1,201103,9,7.0,21.0,298.0,298.0
1,12882,2,201111,1,6.5,123.0,731.52,1463.04
6,12883,4,201111,1,10.5,49.0,175.86750000000004,703.4700000000001
0,12884,1,201109,3,7.0,43.0,309.05000000000007,309.05000000000007
1,12885,3,201110,2,23.333333333333332,218.0,386.09,1158.27
5,12886,2,201110,2,41.0,385.0,689.2,1378.4
7,12888,2,201105,7,2.5,38.0,177.06,354.12
2,12890,1,201111,1,82.0,259.0,380.46999999999997,380.46999999999997
0,12891,3,201106,6,1.0,316.6666666666667,110.33333333333333,331.0
0,12893,1,201111,1,34.0,96.0,188.14,188.14
0,12895,2,201110,2,10.5,103.0,177.89999999999998,355.79999999999995
7,12897,2,201105,7,2.0,55.0,108.25,216.5
7,12902,1,201103,9,10.0,66.0,138.68,138.68
4,12904,2,201111,1,36.0,151.0,254.78999999999996,509.5799999999999
4,12908,1,201106,6,1.0,600.0,432.0,432.0
0,12915,2,201107,5,11.0,46.5,181.825,363.65
4,12917,1,201108,4,2.0,120.0,594.0,594.0
3,12919,6,201112,0,8.333333333333334,112.16666666666667,222.53166666666667,1335.19
0,12920,1,201111,1,28.0,129.0,164.23000000000002,164.23000000000002
4,12922,1,201107,5,28.0,370.0,405.38,405.38
0,12923,1,201110,2,28.0,68.0,175.72,175.72
6,12924,4,201109,3,7.0,119.75,230.5,922.0
4,12925,2,201112,0,22.5,270.5,347.025,694.05
7,12929,1,201102,10,7.0,36.0,102.9,102.9
0,12930,2,201109,3,12.5,126.0,207.9,415.8
6,12933,3,201111,1,35.333333333333336,166.33333333333334,202.51,607.53
6,12936,4,201111,1,15.5,139.75,265.975,1063.9
1,12937,4,201111,1,30.0,251.75,376.0674999999999,1504.2699999999995
0,12938,1,201111,1,9.0,140.0,114.14,114.14
2,12940,2,201110,2,49.5,205.5,456.7700000000001,913.5400000000002
6,12942,3,201107,5,25.0,67.66666666666667,227.9666666666666,683.8999999999999
4,12944,2,201111,1,15.0,144.5,302.255,604.51
7,12945,1,201102,10,23.0,165.0,462.95000000000005,462.95000000000005
3,12947,6,201107,5,15.666666666666666,193.33333333333334,239.5233333333333,1437.1399999999999
3,12951,6,201112,0,10.5,83.83333333333333,177.34500000000003,1064.0700000000002
1,12952,4,201112,0,19.75,163.25,346.9475,1387.79
4,12953,1,201111,1,17.0,84.0,329.84999999999997,329.84999999999997
7,12956,1,201102,10,19.0,34.0,108.07,108.07
0,12962,2,201112,0,8.0,64.5,133.19500000000002,266.39000000000004
2,12965,1,201109,3,109.0,283.0,771.9099999999996,771.9099999999996
0,12966,1,201111,1,10.0,75.0,160.18,160.18
5,12967,2,201100,12,9.0,203.0,804.0500000000001,1608.1000000000001
0,12968,1,201108,4,5.0,73.0,135.95,135.95
6,12970,4,201112,0,37.75,77.5,113.05999999999999,452.23999999999995
7,12974,1,201105,7,8.0,24.0,144.8,144.8
5,12976,1,201105,7,22.0,561.0,738.6,738.6
0,12977,1,201107,5,9.0,12.0,39.24,39.24
0,12981,2,201111,1,10.0,121.0,186.11,372.22
7,12982,1,201104,8,28.0,288.0,390.53999999999996,390.53999999999996
0,12984,1,201111,1,4.0,26.0,97.5,97.5
1,12985,2,201112,0,37.0,706.5,607.81,1215.62
4,12987,2,201109,3,14.0,109.5,279.35,558.7
2,12988,1,201102,10,92.0,136.0,535.32,535.32
6,12990,3,201111,1,4.333333333333333,66.66666666666667,136.5,409.5
4,12991,2,201111,1,15.5,202.5,251.88,503.76
6,12993,4,201111,1,6.75,60.0,103.69000000000001,414.76000000000005
1,12994,3,201112,0,20.0,152.66666666666666,320.5566666666667,961.6700000000001
0,12995,1,201109,3,3.0,108.0,211.32,211.32
1,12997,4,201111,1,14.75,166.0,306.72249999999997,1226.8899999999999
7,12999,3,201105,7,9.333333333333334,114.0,151.95999999999998,455.87999999999994
6,13000,3,201108,4,10.333333333333334,126.33333333333333,178.28333333333333,534.85
7,13002,1,201101,11,7.0,73.0,120.94999999999999,120.94999999999999
0,13003,3,201108,4,2.0,34.333333333333336,49.68333333333334,149.05
7,13005,2,201106,6,12.0,84.0,236.95000000000002,473.90000000000003
0,13006,1,201110,2,4.0,55.0,81.57,81.57
7,13008,1,201101,11,14.0,175.0,229.47000000000003,229.47000000000003
7,13011,1,201100,12,3.0,13.0,50.550000000000004,50.550000000000004
3,13012,6,201111,1,12.0,112.0,219.45333333333335,1316.72
6,13016,3,201109,3,15.666666666666666,175.66666666666666,263.2966666666666,789.8899999999999
0,13017,1,201112,0,1.0,48.0,204.0,204.0
4,13023,2,201110,2,19.0,140.0,299.95000000000005,599.9000000000001
3,13026,5,201112,0,8.0,324.0,195.07200000000003,975.3600000000001
4,13028,2,201111,1,22.5,399.0,330.65999999999997,661.3199999999999
1,13029,3,201111,1,3.3333333333333335,44.666666666666664,415.8333333333333,1247.5
2,13030,2,201111,1,49.5,197.0,399.73999999999995,799.4799999999999
1,13032,2,201110,2,35.5,187.5,505.09,1010.18
7,13033,1,201100,12,11.0,83.0,190.54999999999998,190.54999999999998
4,13034,2,201110,2,18.5,184.5,321.38500000000005,642.7700000000001
4,13035,2,201109,3,13.0,316.0,448.34000000000003,896.6800000000001
6,13037,3,201107,5,16.0,143.66666666666666,293.69,881.0699999999999
6,13038,3,201109,3,9.333333333333334,120.0,302.82,908.46
4,13040,2,201112,0,21.5,177.5,338.495,676.99
7,13043,1,201103,9,13.0,254.0,516.4200000000001,516.4200000000001
7,13044,1,201102,10,33.0,429.0,560.4700000000001,560.4700000000001
4,13045,1,201109,3,18.0,221.0,305.28,305.28
4,13046,2,201111,1,17.5,132.0,314.655,629.31
4,13049,2,201110,2,7.0,134.0,328.34000000000003,656.6800000000001
7,13052,1,201105,7,18.0,222.0,348.15000000000003,348.15000000000003
1,13055,3,201109,3,25.333333333333332,298.0,404.8033333333332,1214.4099999999996
0,13058,3,201111,1,2.6666666666666665,17.333333333333332,90.46666666666665,271.4
7,13059,1,201104,8,8.0,35.0,183.4,183.4
7,13060,1,201103,9,15.0,123.0,307.53000000000003,307.53000000000003
0,13061,1,201109,3,10.0,107.0,248.61,248.61
7,13062,1,201106,6,11.0,343.0,346.98,346.98
1,13064,4,201111,1,17.25,129.0,279.87249999999995,1119.4899999999998
7,13065,1,201100,12,14.0,74.0,205.85999999999999,205.85999999999999
0,13066,2,201111,1,23.5,160.0,215.45000000000002,430.90000000000003
0,13067,1,201109,3,15.0,32.0,115.46000000000002,115.46000000000002
0,13068,2,201111,1,1.0,100.0,172.0,344.0
7,13070,1,201105,7,9.0,110.0,228.8,228.8
7,13072,1,201103,9,7.0,69.0,177.14999999999998,177.14999999999998
5,13075,1,201108,4,22.0,485.0,919.61,919.61
6,13077,4,201112,0,28.0,215.75,182.31750000000002,729.2700000000001
6,13079,5,201112,0,1.2,12.4,44.02,220.10000000000002
0,13080,1,201106,6,6.0,120.0,58.08,58.08
0,13083,2,201112,0,9.0,93.5,151.875,303.75
0,13085,2,201107,5,8.5,69.0,160.04,320.08
4,13091,1,201111,1,21.0,466.0,345.82,345.82
6,13092,5,201109,3,4.8,54.2,91.966,459.83
0,13095,1,201109,3,6.0,144.0,74.4,74.4
0,13099,1,201109,3,1.0,288.0,207.35999999999999,207.35999999999999
7,13101,1,201104,8,8.0,113.0,101.18999999999998,101.18999999999998
0,13103,1,201110,2,8.0,82.0,243.94,243.94
3,13104,6,201112,0,3.3333333333333335,84.0,183.08,1098.48
0,13106,1,201107,5,1.0,18.0,76.5,76.5
1,13107,4,201110,2,14.5,323.25,382.90500000000003,1531.6200000000001
7,13108,1,201100,12,10.0,298.0,350.05999999999995,350.05999999999995
4,13109,2,201110,2,23.5,260.0,393.27000000000004,786.5400000000001
3,13110,7,201111,1,20.714285714285715,55.42857142857143,212.66714285714284,1488.6699999999998
4,13116,1,201107,5,30.0,291.0,501.14000000000004,501.14000000000004
3,13117,8,201111,1,9.5,118.125,123.11375,984.91
3,13118,5,201111,1,15.4,78.4,225.894,1129.47
7,13120,1,201104,8,1.0,12.0,30.599999999999998,30.599999999999998
7,13121,1,201103,9,47.0,227.0,254.7299999999999,254.7299999999999
1,13122,2,201109,3,27.5,292.5,461.1950000000001,922.3900000000002
0,13127,1,201109,3,15.0,127.0,259.16999999999996,259.16999999999996
0,13130,1,201109,3,2.0,32.0,64.0,64.0
1,13131,3,201111,1,14.666666666666666,149.0,357.76666666666665,1073.3
7,13132,1,201103,9,3.0,20.0,77.3,77.3
7,13133,2,201103,9,3.5,16.0,54.9,109.8
3,13138,6,201111,1,10.5,78.83333333333333,160.39833333333334,962.3900000000001
6,13140,3,201108,4,15.333333333333334,62.0,141.23999999999998,423.71999999999997
4,13142,1,201111,1,23.0,258.0,307.0899999999999,307.0899999999999
7,13144,1,201101,11,3.0,21.0,110.94999999999999,110.94999999999999
6,13145,4,201110,2,1.5,36.25,154.63,618.52
0,13146,1,201111,1,17.0,154.0,228.91,228.91
6,13147,4,201111,1,1.0,36.0,178.20000000000002,712.8000000000001
5,13151,1,201102,10,74.0,363.0,1257.8700000000003,1257.8700000000003
4,13153,1,201112,0,15.0,418.0,486.22,486.22
6,13155,4,201111,1,21.25,124.25,242.93999999999994,971.7599999999998
1,13158,4,201109,3,19.75,196.0,300.265,1201.06
